,yolov5m,yolov5l,detr-resnet-50,yolov5s,yolov5n,yolov5x,detr-resnet-101
0.9,0.014719306252852579,0.02647193062528526,0.5726837060702875,0.018370607028753993,0.0022820629849383844,0.11547238703788225,0.6277955271565495
0.8,0.34459151072569605,0.405294386125057,0.6481058877225011,0.35896850753080783,0.13350068461889547,0.45972158831583754,0.6867868553172067
0.7,0.5176859881332725,0.5908261068005477,0.6761752624372432,0.5559105431309904,0.4075764491099954,0.597558192606116,0.7142857142857143
0.6,0.6267685988133272,0.6898676403468735,0.6944317663167503,0.6570059333637608,0.5231629392971247,0.6887266088544044,0.7268370607028753
0.5,0.7185075308078503,0.764148790506618,0.7072113190324053,0.7232998630762209,0.5972158831583751,0.7638064810588773,0.7339114559561843
0.4,0.7930168872660885,0.8128708352350524,0.7143998174349612,0.7654039251483341,0.6558649018712917,0.8086490187129165,0.7430397078959379
0.29999999999999993,0.8368324965769055,0.8441350981287083,0.7193062528525788,0.7968963943404838,0.7016202647193063,0.8412825193975354,0.7474897307165678
0.19999999999999996,0.8579415791875856,0.8620492925604747,0.7226152441807394,0.8113874942948426,0.716225467822912,0.8562300319488818,0.7541077133728891
0.09999999999999998,0.8579415791875856,0.8620492925604747,0.7300319488817891,0.8113874942948426,0.716225467822912,0.8562300319488818,0.7607256960292104
0.0,0.8579415791875856,0.8620492925604747,0.7321999087174806,0.8113874942948426,0.716225467822912,0.8562300319488818,0.764034687357371
